#lambda[A]	Flux[microJy]
4.863e+03	3.386e-05
4.863e+03	2.571e-05
4.863e+03	1.932e-05
4.863e+03	1.437e-05
4.863e+03	1.058e-05
4.863e+03	7.712e-06
4.863e+03	5.564e-06
4.863e+03	3.973e-06
4.863e+03	2.808e-06
4.863e+03	1.965e-06
4.864e+03	1.361e-06
4.864e+03	9.331e-07
4.864e+03	6.332e-07
4.864e+03	4.253e-07
4.864e+03	2.828e-07
4.864e+03	1.861e-07
4.864e+03	1.213e-07
4.864e+03	7.819e-08
4.864e+03	4.991e-08
4.864e+03	3.153e-08
4.864e+03	1.972e-08
4.864e+03	1.221e-08
4.864e+03	7.481e-09
4.864e+03	4.538e-09
6.560e+03	1.302e-08
6.560e+03	2.147e-08
6.560e+03	3.504e-08
6.560e+03	5.660e-08
6.560e+03	9.050e-08
6.560e+03	1.432e-07
6.560e+03	2.244e-07
6.561e+03	3.480e-07
6.561e+03	5.342e-07
6.561e+03	8.116e-07
6.561e+03	1.221e-06
6.561e+03	1.817e-06
6.561e+03	2.678e-06
6.561e+03	3.906e-06
6.561e+03	5.640e-06
6.561e+03	8.060e-06
6.561e+03	1.140e-05
6.561e+03	1.597e-05
6.561e+03	2.213e-05
6.561e+03	3.037e-05
6.561e+03	4.124e-05
6.561e+03	5.544e-05
6.562e+03	7.377e-05
6.562e+03	9.717e-05
6.562e+03	1.267e-04
6.562e+03	1.635e-04
6.562e+03	2.089e-04
6.562e+03	2.641e-04
6.562e+03	3.306e-04
6.562e+03	4.096e-04
6.562e+03	5.023e-04
6.562e+03	6.097e-04
6.562e+03	7.327e-04
6.562e+03	8.714e-04
6.562e+03	1.026e-03
6.562e+03	1.196e-03
6.562e+03	1.379e-03
6.563e+03	1.575e-03
6.563e+03	1.780e-03
6.563e+03	1.991e-03
6.563e+03	2.205e-03
6.563e+03	2.417e-03
6.563e+03	2.623e-03
6.563e+03	2.817e-03
6.563e+03	2.995e-03
6.563e+03	3.152e-03
6.563e+03	3.283e-03
6.563e+03	3.385e-03
6.563e+03	3.455e-03
6.563e+03	3.490e-03
6.563e+03	3.490e-03
6.563e+03	3.455e-03
6.564e+03	3.385e-03
6.564e+03	3.283e-03
6.564e+03	3.152e-03
6.564e+03	2.995e-03
6.564e+03	2.817e-03
6.564e+03	2.623e-03
6.564e+03	2.417e-03
6.564e+03	2.205e-03
